      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer     model       kin       csb       acc       rad      live      pion
   1.00000  10.60200   3.40680  24.98000   0.50047   6.75747   7.62500   0.77380   0.01041   0.00943   0.01250   0.01060   0.00100   0.00145   0.00077   0.00002   0.00022   0.00500   0.00362   0.00140
   1.00000  10.60200   3.34204  24.98000   0.48658   6.62900   7.87500   0.76985   0.00993   0.00890   0.01252   0.01060   0.00100   0.00145   0.00107   0.00002   0.00021   0.00501   0.00362   0.00140
   1.00000  10.60200   3.27727  24.98000   0.47293   6.50054   8.12500   0.78125   0.00950   0.00842   0.01245   0.01060   0.00100   0.00117   0.00049   0.00002   0.00020   0.00501   0.00362   0.00140
   1.00000  10.60200   3.21250  24.98000   0.45952   6.37207   8.37500   0.78481   0.00906   0.00795   0.01246   0.01060   0.00100   0.00063   0.00115   0.00003   0.00019   0.00501   0.00362   0.00140
   1.00000  10.60200   3.14774  24.98000   0.44635   6.24361   8.62500   0.79824   0.00880   0.00762   0.01243   0.01060   0.00100   0.00031   0.00099   0.00004   0.00018   0.00501   0.00362   0.00140
   1.00000  10.60200   3.08297  24.98000   0.43340   6.11515   8.87500   0.78970   0.00847   0.00725   0.01260   0.01060   0.00100   0.00050   0.00223   0.00005   0.00018   0.00501   0.00362   0.00140
   1.00000  10.60200   3.01821  24.98000   0.42067   5.98668   9.12500   0.80327   0.00818   0.00691   0.01248   0.01060   0.00100   0.00123   0.00077   0.00006   0.00017   0.00501   0.00362   0.00140
   1.00000  10.60200   2.95344  24.98000   0.40816   5.85822   9.37500   0.80990   0.00789   0.00659   0.01311   0.01060   0.00100   0.00365   0.00221   0.00007   0.00017   0.00501   0.00362   0.00140
   1.00000  10.60200   2.88868  24.98000   0.39585   5.72975   9.62500   0.80366   0.00770   0.00633   0.01278   0.01060   0.00100   0.00236   0.00204   0.00009   0.00016   0.00502   0.00362   0.00140
   1.00000  10.60200   2.82391  24.98000   0.38376   5.60129   9.87500   0.80409   0.00749   0.00611   0.01253   0.01060   0.00100   0.00142   0.00115   0.00012   0.00015   0.00502   0.00362   0.00140
