      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   1.00000  10.60200   3.38998  21.03500   0.35394   4.79006   9.62397   0.83251   0.01216   0.01087   0.01341   0.01100   0.00100   0.00043   0.00005   0.00016   0.00501   0.00386   0.00140
   1.00000  10.60200   3.42242  21.03500   0.35894   4.83590   9.51726   0.83119   0.01234   0.01107   0.01341   0.01100   0.00100   0.00040   0.00004   0.00016   0.00501   0.00386   0.00140
   1.00000  10.60200   3.45486  21.03500   0.36399   4.88174   9.41054   0.83084   0.01249   0.01125   0.01341   0.01100   0.00100   0.00044   0.00004   0.00016   0.00501   0.00386   0.00140
   1.00000  10.60200   3.48730  21.03500   0.36908   4.92758   9.30383   0.79677   0.01266   0.01143   0.01341   0.01100   0.00100   0.00046   0.00003   0.00017   0.00501   0.00386   0.00140
   1.00000  10.60200   3.51974  21.03500   0.37422   4.97341   9.19712   0.82996   0.01286   0.01166   0.01341   0.01100   0.00100   0.00046   0.00003   0.00017   0.00501   0.00386   0.00140
   1.00000  10.60200   3.55218  21.03500   0.37940   5.01925   9.09040   0.80366   0.01299   0.01181   0.01341   0.01100   0.00100   0.00049   0.00003   0.00017   0.00501   0.00386   0.00140
   1.00000  10.60200   3.58462  21.03500   0.38464   5.06509   8.98369   0.80942   0.01321   0.01205   0.01341   0.01100   0.00100   0.00047   0.00003   0.00017   0.00501   0.00386   0.00140
   1.00000  10.60200   3.61706  21.03500   0.38992   5.11093   8.87698   0.80162   0.01342   0.01230   0.01341   0.01100   0.00100   0.00051   0.00002   0.00018   0.00501   0.00386   0.00140
   1.00000  10.60200   3.64950  21.03500   0.39526   5.15677   8.77027   0.81599   0.01376   0.01265   0.01341   0.01100   0.00100   0.00055   0.00002   0.00018   0.00501   0.00386   0.00140
   1.00000  10.60200   3.68194  21.03500   0.40064   5.20260   8.66355   0.80899   0.01411   0.01300   0.01341   0.01100   0.00100   0.00049   0.00002   0.00018   0.00501   0.00386   0.00140
   1.00000  10.60200   3.71438  21.03500   0.40607   5.24844   8.55684   0.79688   0.01421   0.01315   0.01341   0.01100   0.00100   0.00055   0.00002   0.00019   0.00501   0.00386   0.00140
   1.00000  10.60200   3.74682  21.03500   0.41156   5.29428   8.45013   0.80103   0.01454   0.01351   0.01341   0.01100   0.00100   0.00053   0.00002   0.00019   0.00501   0.00386   0.00140
   1.00000  10.60200   3.77926  21.03500   0.41709   5.34012   8.34341   0.80257   0.01473   0.01372   0.01341   0.01100   0.00100   0.00054   0.00001   0.00019   0.00501   0.00386   0.00140
   1.00000  10.60200   3.81170  21.03500   0.42268   5.38596   8.23670   0.78259   0.01502   0.01403   0.01341   0.01100   0.00100   0.00056   0.00001   0.00020   0.00501   0.00386   0.00140
   1.00000  10.60200   3.84414  21.03500   0.42833   5.43179   8.12999   0.79216   0.01553   0.01457   0.01341   0.01100   0.00100   0.00055   0.00001   0.00020   0.00500   0.00386   0.00140
   1.00000  10.60200   3.87658  21.03500   0.43402   5.47763   8.02327   0.78770   0.01587   0.01492   0.01341   0.01100   0.00100   0.00057   0.00001   0.00020   0.00500   0.00386   0.00140
