A_h,E_h,Ep,theta,xsect_h,xsect_e_h,xsect_d,xsect_e_d
1,10.602,2.565,21.035,3.202042046,0.07633571,2.669121412,0.062682444
1,10.602,2.585,21.035,3.141901626,0.074669996,2.61205297,0.061252991
1,10.602,2.605,21.035,3.122555906,0.074379753,2.600114734,0.060961634
1,10.602,2.625,21.035,3.077517759,0.073236357,2.572578986,0.060412874
1,10.602,2.645,21.035,2.950158615,0.070746751,2.609657179,0.060782975
1,10.602,2.665,21.035,3.02031212,0.072443393,2.561995444,0.059977247
1,10.602,2.685,21.035,2.944723351,0.070437669,2.479495571,0.058636657
1,10.602,2.705,21.035,2.948822997,0.070632759,2.540470034,0.059665001
1,10.602,2.725,21.035,2.883084021,0.069673116,2.505258186,0.059183934
1,10.602,2.745,21.035,2.892634195,0.069908415,2.408651291,0.056892403
1,10.602,2.765,21.035,2.88050189,0.069508815,2.435033938,0.058071728
1,10.602,2.785,21.035,2.847777076,0.069379015,2.385911638,0.056834029
1,10.602,2.805,21.035,2.864322706,0.06948948,2.38786651,0.057051598
1,10.602,2.825,21.035,2.786155198,0.068284585,2.356322665,0.056612309
1,10.602,2.845,21.035,2.708340837,0.066717671,2.377751457,0.057262579
1,10.602,2.865,21.035,2.705803754,0.067080681,2.308876657,0.056048826
1,10.602,2.885,21.035,2.788335252,0.068506893,2.286378239,0.05540778
1,10.602,2.905,21.035,2.783794956,0.069057905,2.255411227,0.054938267
1,10.602,2.925,21.035,2.685369975,0.067059615,2.26732353,0.055582766
1,10.602,2.945,21.035,2.720643127,0.068098546,2.23213408,0.055079414
1,10.602,2.965,21.035,2.734239533,0.068382364,2.209024758,0.054477477
1,10.602,2.985,21.035,2.712423018,0.068533678,2.248730954,0.055503294
1,10.602,3.005,21.035,2.660652171,0.067538611,2.249937559,0.055763626
1,10.602,3.025,21.035,2.666556134,0.067562153,2.135960291,0.053557692
1,10.602,3.045,21.035,2.60939016,0.066698895,2.143622847,0.05376553
1,10.602,3.065,21.035,2.590674953,0.066563469,2.12964043,0.05399949
1,10.602,3.085,21.035,2.580182764,0.066719098,2.121157507,0.05403853
1,10.602,3.105,21.035,2.57439735,0.066921381,2.118801977,0.054497735
1,10.602,3.125,21.035,2.646099159,0.068745538,2.018734299,0.052084418
1,10.602,3.145,21.035,2.51657842,0.066616699,2.047455495,0.053063546
1,10.602,3.165,21.035,2.465224327,0.065488251,2.006142671,0.052591729
1,10.602,3.185,21.035,2.509175678,0.066236817,2.02206675,0.053244439
1,10.602,3.205,21.035,2.509661583,0.067162871,1.992610719,0.0527477
1,10.602,2.985,24.98,0.949053614,0.021217289,0.747517684,0.016682047
1,10.602,3.005,24.98,0.940665803,0.021142607,0.745127851,0.016729312
1,10.602,3.025,24.98,0.927807308,0.020953123,0.720212391,0.01622751
1,10.602,3.045,24.98,0.90140473,0.020285301,0.705005537,0.015848406
1,10.602,3.065,24.98,0.862865304,0.019671855,0.681159657,0.015398526
1,10.602,3.085,24.98,0.859604224,0.019524199,0.681954154,0.015481756
1,10.602,3.105,24.98,0.84296788,0.019297098,0.666747306,0.015262836
1,10.602,3.125,24.98,0.822185508,0.01887621,0.648228638,0.014855324
1,10.602,3.145,24.98,0.824779873,0.018973571,0.640836106,0.014633411
1,10.602,3.165,24.98,0.822135151,0.018845025,0.626090592,0.014368119
1,10.602,3.185,24.98,0.817878418,0.018892743,0.611226751,0.014138651
1,10.602,3.205,24.98,0.779988487,0.01811404,0.614089004,0.014243459
1,10.602,3.225,24.98,0.78476502,0.018372404,0.578080643,0.013568267
1,10.602,3.245,24.98,0.755686569,0.017777507,0.580028077,0.013580541
1,10.602,3.265,24.98,0.748878323,0.017597232,0.571442499,0.013455332
1,10.602,3.285,24.98,0.74044618,0.017509365,0.560666816,0.013295451
1,10.602,3.305,24.98,0.70393382,0.016774673,0.549818786,0.013099641
1,10.602,3.325,24.98,0.699320686,0.016566891,0.540922696,0.012986669
1,10.602,3.345,24.98,0.683442864,0.016392661,0.523319733,0.01258557
1,10.602,3.365,24.98,0.685575756,0.016526111,0.519150322,0.012553056
1,10.602,3.385,24.98,0.659446312,0.01601127,0.503629679,0.012298923
1,10.602,3.405,24.98,0.648549128,0.015804704,0.49018639,0.011912089
1,10.602,3.425,24.98,0.632797288,0.015446366,0.47024843,0.011580701
1,10.602,3.445,24.98,0.626556881,0.015438685,0.473378249,0.011684993
1,10.602,3.465,24.98,0.613138794,0.015174756,0.463583887,0.011567634
1,10.602,3.485,24.98,0.608328668,0.015053255,0.449224642,0.011217166
1,10.602,3.505,24.98,0.590392382,0.014846236,0.445991734,0.011198465
1,10.602,3.525,24.98,0.589061469,0.014806769,0.445537479,0.011288335
1,10.602,3.545,24.98,0.574798354,0.014668752,0.421925345,0.010718571
1,10.602,3.565,24.98,0.568015782,0.014465209,0.400933905,0.010346745
1,10.602,2.865,28.99,0.345478494,0.007388254,0.256944943,0.005458432
1,10.602,2.885,28.99,0.327742175,0.007021483,0.247170864,0.005255139
1,10.602,2.905,28.99,0.318632734,0.006837168,0.238692828,0.005086573
1,10.602,2.925,28.99,0.310965027,0.006699083,0.231677108,0.004950959
1,10.602,2.945,28.99,0.299579132,0.006487722,0.22185395,0.004758529
1,10.602,2.965,28.99,0.293341395,0.006373386,0.214832275,0.004589062
1,10.602,2.985,28.99,0.284006951,0.006193548,0.211559976,0.004542532
1,10.602,3.005,28.99,0.273973761,0.005961115,0.202089315,0.004351016
1,10.602,3.025,28.99,0.267231756,0.005848757,0.196906046,0.004257559
1,10.602,3.045,28.99,0.254535984,0.005595601,0.19144463,0.004157007
1,10.602,3.065,28.99,0.24842331,0.005438908,0.182641386,0.003943358
1,10.602,3.085,28.99,0.24167039,0.005313093,0.175941665,0.003818192
1,10.602,3.105,28.99,0.234592437,0.005190142,0.169671109,0.003702146
1,10.602,3.125,28.99,0.224594533,0.004990029,0.164725792,0.003607179
1,10.602,3.145,28.99,0.216969276,0.004840172,0.15762717,0.003465815
1,10.602,3.165,28.99,0.208473213,0.004650276,0.151715074,0.003326741
1,10.602,3.185,28.99,0.204029343,0.004568863,0.145155284,0.003201624
1,10.602,3.205,28.99,0.193618087,0.004363814,0.141684033,0.0031401
1,10.602,3.225,28.99,0.186232929,0.004218472,0.136779245,0.00304367
1,10.602,3.245,28.99,0.184002305,0.004180126,0.130020512,0.002920371
1,10.602,3.265,28.99,0.174162836,0.003963213,0.126017951,0.002824547
1,10.602,3.285,28.99,0.170519135,0.003915702,0.120178289,0.002699705
1,10.602,3.305,28.99,0.160205956,0.003708306,0.117626823,0.00267509
1,10.602,3.325,28.99,0.15388277,0.003591099,0.113297586,0.00258873
1,10.602,3.345,28.99,0.14894249,0.003470175,0.106335384,0.002425162
1,10.602,3.365,28.99,0.144047227,0.003389562,0.101222684,0.00232234
1,10.602,3.385,28.99,0.136458817,0.003233275,0.09721101,0.002258586
1,10.602,3.405,28.99,0.131964927,0.003150747,0.092257061,0.002132357
1,10.602,3.425,28.99,0.125938082,0.002999126,0.087646336,0.002036089
1,10.602,3.445,28.99,0.120797151,0.00290857,0.085152454,0.00200037
